"No.","Time","Source","Destination","Protocol","Length","Info"
"3430","12.903105883","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3431","12.903105900","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3432","12.903105917","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3433","12.903105934","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3434","12.903105950","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3435","12.903105967","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3436","12.903105983","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3437","12.903117129","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3438","12.903117147","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3439","12.903117168","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3440","12.903117188","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3441","12.903117204","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3442","12.903117220","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3443","12.903117236","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3444","12.903117250","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3445","12.903138239","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3446","12.903138285","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3447","12.903138302","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3448","12.903175850","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3449","12.903175886","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3450","12.903176255","192.168.43.128","203.75.52.144","QUIC","77","Protected Payload (KP0), DCID=fd83e96b788e7d59"
"3451","12.903175903","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3452","12.903175928","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
