"No.","Time","Source","Destination","Protocol","Length","Info"
"1615","4.273222608","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=27947 Win=65535 Len=0"
"1616","4.273834069","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1617","4.273868054","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=30771 Win=65535 Len=0"
"1618","4.276400074","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1619","4.276447789","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=33595 Win=65535 Len=0"
"1620","4.276692842","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1621","4.277730515","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1622","4.277757422","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=36419 Win=65535 Len=0"
"1623","4.278261487","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1624","4.278865737","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1625","4.278914248","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=39243 Win=65535 Len=0"
"1626","4.279420575","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1627","4.280093996","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
